ID,Piccadilly Circus Station London,London Bridge,St. Paul's Cathedral London,Buckingham Palace London,Hyde Park London,London eye,Westminster Abbey London,University of London,Waterloo Station London,Euston Station London,Farringdon Station London,Paddington Station London,Victoria Station London,The British Museum,Tower Bridge London,Kensington Palace London
1.2.1,45.21,54.79,,,,,,,,,,,,,,
1.2.3,23.68,76.32,,,,,,,,,,,,,,
1.2.5,23.08,76.92,,,,,,,,,,,,,,
1.2.10,28.25,71.75,,,,,,,,,,,,,,
1.2.15,23.63,76.37,,,,,,,,,,,,,,
1.5.1,18.76,22.74,22.74,19.39,16.37,,,,,,,,,,,
1.5.3,13.39,43.16,16.71,17.86,8.89,,,,,,,,,,,
1.5.5,12.50,41.67,20.83,16.67,8.33,,,,,,,,,,,
1.5.10,13.76,34.94,23.71,18.34,9.25,,,,,,,,,,,
1.5.15,12.69,41.02,20.83,16.92,8.54,,,,,,,,,,,
1.10.1,10.01,12.13,12.13,10.34,8.73,12.13,10.64,5.21,12.13,6.55,,,,,,
1.10.3,7.54,24.31,9.41,10.06,5.00,19.25,7.60,0.00,16.83,0.00,,,,,,
1.10.5,7.54,25.14,12.57,10.06,5.03,16.47,8.11,0.00,15.08,0.00,,,,,,
1.10.10,7.33,18.63,12.64,9.78,4.93,16.19,7.90,3.48,15.65,3.48,,,,,,
1.10.15,7.61,24.61,12.49,10.15,5.12,16.59,8.20,0.00,15.23,0.00,,,,,,
1.15.1,6.96,8.43,8.43,7.19,6.07,8.43,7.40,3.62,8.43,4.55,5.06,2.53,6.96,7.59,8.32,
1.15.3,6.10,19.65,7.61,8.13,4.04,15.55,6.14,0.00,13.60,0.00,1.57,0.00,6.10,3.51,8.00,
1.15.5,5.93,19.77,9.89,7.91,3.95,12.95,6.38,0.00,11.86,0.00,1.41,0.00,5.74,3.30,10.91,
1.15.10,5.76,14.62,9.93,7.68,3.87,12.71,6.20,2.73,12.28,2.73,3.96,2.27,5.12,3.10,7.04,
1.15.15,5.98,19.32,9.81,7.97,4.02,13.02,6.44,0.00,11.95,0.00,1.42,0.00,5.79,3.32,10.97,
3.2.1,50.00,,,,,50.00,,,,,,,,,,
3.2.3,49.41,,,,,50.59,,,,,,,,,,
3.2.5,55.07,,,,,44.93,,,,,,,,,,
3.2.10,54.22,,,,,45.78,,,,,,,,,,
3.2.15,54.22,,,,,45.78,,,,,,,,,,
3.5.1,28.70,,4.78,,,28.70,28.70,,,,,,,9.13,,
3.5.3,29.67,,5.06,,,30.38,29.89,,,,,,,5.00,,
3.5.5,35.05,,5.89,,,28.60,24.18,,,,,,,6.27,,
3.5.10,34.37,,6.01,,,29.02,24.38,,,,,,,6.22,,
3.5.15,34.37,,6.01,,,29.02,24.38,,,,,,,6.22,,
3.10.1,15.61,,2.60,,14.41,15.61,15.61,5.20,,6.69,3.72,,,4.97,15.61,
3.10.3,18.06,,3.08,,11.15,18.49,18.19,2.51,,2.63,4.38,,,3.04,18.46,
3.10.5,20.72,,3.48,,11.23,16.91,14.29,3.06,,3.20,5.34,,,3.71,18.06,
3.10.10,20.22,,3.53,,11.27,17.07,14.34,3.07,,3.20,5.34,,,3.66,18.29,
3.10.15,20.22,,3.53,,11.27,17.07,14.34,3.07,,3.20,5.34,,,3.66,18.29,
3.15.1,9.25,9.25,1.54,9.25,8.54,9.25,9.25,3.08,9.25,3.97,2.20,,9.25,2.94,9.25,3.70
3.15.3,10.21,10.46,1.74,10.25,6.31,10.46,10.29,1.42,10.46,1.49,2.48,,10.21,1.72,10.44,2.07
3.15.5,12.61,8.24,2.12,9.74,6.83,10.29,8.70,1.86,10.29,1.95,3.25,,7.43,2.26,10.99,3.43
3.15.10,12.27,8.32,2.14,9.71,6.84,10.36,8.70,1.86,10.36,1.94,3.24,,7.48,2.22,11.10,3.45
3.15.15,12.27,8.32,2.14,9.71,6.84,10.36,8.70,1.86,10.36,1.94,3.24,,7.48,2.22,11.10,3.45
4.15.1,5.97,0.85,4.27,6.30,7.23,5.51,6.30,10.24,5.12,10.24,4.39,10.24,6.30,10.24,,6.82
4.15.3,3.97,0.72,5.17,5.71,5.67,4.33,4.58,10.58,3.61,9.07,6.21,23.80,3.97,8.66,,3.97
4.15.5,4.24,0.92,4.76,6.13,6.00,4.73,4.93,9.20,3.94,8.18,5.71,24.34,4.24,7.88,,4.80
4.15.10,4.23,0.91,4.72,6.10,6.00,4.66,4.89,9.19,3.89,8.13,5.66,24.77,4.23,7.83,,4.80
4.15.15,4.45,0.85,4.89,6.45,6.21,5.09,5.20,9.22,4.25,8.33,5.87,21.51,4.45,8.07,,5.16
5.5.1,20.00,20.00,20.00,,,,20.00,,,20.00,,,,,,
5.5.3,26.03,15.62,17.35,,,,34.70,,,6.31,,,,,,
5.5.5,26.99,17.10,13.68,,,,34.19,,,8.04,,,,,,
5.5.10,23.66,11.81,15.25,,,,43.57,,,5.72,,,,,,
5.5.15,24.15,14.49,15.51,,,,39.87,,,5.98,,,,,,
5.10.1,10.00,10.00,10.00,,10.00,10.00,10.00,10.00,,10.00,,10.00,,,10.00,
5.10.3,18.62,11.17,12.41,,3.55,11.17,24.83,4.51,,4.51,,2.13,,,7.09,
5.10.5,16.56,10.49,8.39,,3.50,10.49,20.97,4.93,,4.93,,8.21,,,11.54,
5.10.10,17.03,8.50,10.97,,5.06,9.88,31.35,4.12,,4.12,,2.99,,,5.99,
5.10.15,17.41,10.44,11.17,,4.02,10.44,28.74,4.31,,4.31,,2.45,,,6.70,
5.15.1,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,,6.67,6.67,6.67,6.67,6.67
5.15.3,11.72,7.03,7.81,9.23,2.23,7.03,15.63,2.84,6.25,2.84,,1.34,15.63,4.38,4.47,1.56
5.15.5,10.42,6.60,5.28,10.56,2.20,6.60,13.20,3.10,6.91,3.10,,5.16,13.20,4.62,7.26,1.80
5.15.10,10.30,5.14,6.64,9.96,3.06,5.98,18.97,2.49,5.31,2.49,,1.81,18.11,3.98,3.62,2.13
5.15.15,10.61,6.37,6.81,9.97,2.45,6.37,17.52,2.63,5.66,2.63,,1.49,17.52,4.15,4.09,1.72
2.15.1,,2.55,1.74,3.25,15.07,6.36,1.57,0.00,6.36,0.00,3.49,47.09,3.36,0.00,9.16,0.00
2.15.3,,2.55,1.74,3.25,15.07,6.36,1.57,0.00,6.36,0.00,3.49,47.09,3.36,0.00,9.16,0.00
2.15.5,,2.59,1.82,3.36,15.79,6.48,1.62,0.00,6.48,0.00,3.63,45.39,3.49,0.00,9.34,0.00
2.15.10,,2.59,1.83,3.22,14.66,6.48,1.56,0.00,6.48,0.00,3.66,46.89,3.32,0.00,9.30,0.00
2.15.15,,2.65,1.78,3.33,15.30,6.62,1.61,0.00,6.62,0.00,3.56,45.57,3.44,0.00,9.51,0.00
2.10.1,,,2.36,4.39,,8.60,,0.00,8.60,0.00,,63.67,,0.00,12.38,0.00
2.10.3,,,2.36,4.39,,8.60,,0.00,8.60,0.00,,63.67,,0.00,12.38,0.00
2.10.5,,,2.49,4.61,,8.90,,0.00,8.90,0.00,,62.28,,0.00,12.82,0.00
2.10.10,,,2.47,4.34,,8.73,,0.00,8.73,0.00,,63.19,,0.00,12.53,0.00
2.10.15,,,2.42,4.54,,9.02,,0.00,9.02,0.00,,62.05,,0.00,12.95,0.00
2.5.1,,,,5.46,,,,0.00,,0.00,,79.15,,,15.39,
2.5.3,,,,5.46,,,,0.00,,0.00,,79.15,,,15.39,
2.5.5,,,,5.79,,,,0.00,,0.00,,78.13,,,16.09,
2.5.10,,,,5.42,,,,0.00,,0.00,,78.93,,,15.65,
2.5.15,,,,5.70,,,,0.00,,0.00,,78.01,,,16.29,
4.10.1,,,,8.25,9.47,7.22,,13.41,6.71,13.41,5.75,13.41,,13.41,,8.94
4.10.3,,,,7.00,6.95,5.30,,12.97,4.42,11.11,7.61,29.17,,10.61,,4.86
4.10.5,,,,7.58,7.41,5.85,,11.37,4.87,10.10,7.06,30.09,,9.74,,5.93
4.10.10,,,,7.52,7.41,5.75,,11.34,4.79,10.03,6.99,30.57,,9.66,,5.93
4.10.15,,,,8.05,7.74,6.36,,11.50,5.30,10.39,7.32,26.84,,10.06,,6.44
4.2.1,,,,,,35.00,,,,,,65.00,,,,
4.2.3,,,,,,15.38,,,,,,84.62,,,,
4.2.5,,,,,,16.27,,,,,,83.73,,,,
4.2.10,,,,,,15.84,,,,,,84.16,,,,
4.2.15,,,,,,19.15,,,,,,80.85,,,,
4.5.1,,,,,,12.80,,23.78,,23.78,,23.78,,,,15.85
4.5.3,,,,,,8.36,,20.44,,17.52,,46.00,,,,7.67
4.5.5,,,,,,9.23,,17.95,,15.95,,47.51,,,,9.36
4.5.10,,,,,,9.04,,17.83,,15.77,,48.04,,,,9.32
4.5.15,,,,,,10.33,,18.69,,16.89,,43.62,,,,10.47
5.2.1,,,,,,,50.00,,,50.00,,,,,,
5.2.3,,,,,,,84.62,,,15.38,,,,,,
5.2.5,,,,,,,80.95,,,19.05,,,,,,
5.2.10,,,,,,,88.40,,,11.60,,,,,,
5.2.15,,,,,,,86.96,,,13.04,,,,,,
2.2.1,,,,,,,,,,0.00,,100.00,,,,
2.2.3,,,,,,,,,,0.00,,100.00,,,,
2.2.5,,,,,,,,,,0.00,,100.00,,,,
2.2.10,,,,,,,,,,0.00,,100.00,,,,
2.2.15,,,,,,,,,,0.00,,100.00,,,,
